close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
99.37,99.96,97.55,99.0,28395390,99.37,99.96,97.55,99.0,28395390,0.0,1.0
95.44,100.58,95.21,100.58,33410553,95.44,100.58,95.21,100.58,33410553,0.0,1.0
98.37,98.87,92.45,95.85,48658623,98.37,98.87,92.45,95.85,48658623,0.0,1.0
94.97,96.38,93.54,93.98,46132781,94.97,96.38,93.54,93.98,46132781,0.0,1.0
95.26,97.42,93.92,96.53,30998256,95.26,97.42,93.92,96.53,30998256,0.0,1.0
94.35,95.0,89.37,92.83,59051429,94.35,95.0,89.37,92.83,59051429,0.0,1.0
94.16,95.99,92.62,94.91,30518939,94.16,95.99,92.62,94.91,30518939,0.0,1.0
97.94,98.07,95.49,96.41,30495387,97.94,98.07,95.49,96.41,30495387,0.0,1.0
97.01,99.48,96.93,98.72,32482015,97.01,99.48,96.93,98.72,32482015,0.0,1.0
97.34,97.88,95.66,97.76,26877080,97.34,97.88,95.66,97.76,26877080,0.0,1.0
94.45,97.85,94.23,97.79,58699359,94.45,97.85,94.23,97.79,58699359,0.0,1.0
109.11,110.34,104.81,107.2,107475327,109.11,110.34,104.81,107.2,107475327,0.0,1.0
112.21,112.84,108.84,108.99,62739548,112.21,112.84,108.84,108.99,62739548,0.0,1.0
115.09,115.72,112.01,112.27,46132726,115.09,115.72,112.01,112.27,46132726,0.0,1.0
114.61,117.59,113.2,114.8,59778571,114.61,117.59,113.2,114.8,59778571,0.0,1.0
112.69,115.3407,109.75,115.27,56919324,112.69,115.3407,109.75,115.27,56919324,0.0,1.0
110.49,111.94,109.25,111.8,38890199,110.49,111.94,109.25,111.8,38890199,0.0,1.0
104.07,109.58,103.18,109.51,76894741,104.07,109.58,103.18,109.51,76894741,0.0,1.0
99.75,102.68,97.46,100.41,71229746,99.75,102.68,97.46,100.41,71229746,0.0,1.0
99.54,102.4,96.82,97.14,62709018,99.54,102.4,96.82,97.14,62709018,0.0,1.0
101.0,103.25,100.24,101.55,45179370,101.0,103.25,100.24,101.55,45179370,0.0,1.0
101.91,105.11,98.88,99.6,43670634,101.91,105.11,98.88,99.6,43670634,0.0,1.0
102.01,104.24,101.09,103.74,36176760,102.01,104.24,101.09,103.74,36176760,0.0,1.0
101.61,103.93,100.24,103.8,45687224,101.61,103.93,100.24,103.8,45687224,0.0,1.0
105.2,105.72,100.4,101.94,44073369,105.2,105.72,100.4,101.94,44073369,0.0,1.0
103.47,106.0,103.03,105.8,29593508,103.47,106.0,103.03,105.8,29593508,0.0,1.0
104.57,105.02,102.06,102.55,32404516,104.57,105.02,102.06,102.55,32404516,0.0,1.0
107.16,108.25,105.34,105.49,35709714,107.16,108.25,105.34,105.49,35709714,0.0,1.0
105.46,107.47,105.12,106.85,25319315,105.46,107.47,105.12,106.85,25319315,0.0,1.0
106.88,106.95,102.74,104.21,34412437,106.88,106.95,102.74,104.21,34412437,0.0,1.0
108.07,108.07,105.61,107.11,29906278,108.07,108.07,105.61,107.11,29906278,0.0,1.0
107.92,109.45,107.16,108.7,26686193,107.92,109.45,107.16,108.7,26686193,0.0,1.0
106.92,108.9101,106.75,107.6,32778992,106.92,108.9101,106.75,107.6,32778992,0.0,1.0
109.82,109.82,107.6,107.83,26817309,109.82,109.82,107.6,107.83,26817309,0.0,1.0
109.95,110.55,108.77,109.68,25670170,109.95,110.55,108.77,109.68,25670170,0.0,1.0
109.58,110.3,108.54,110.25,21353092,109.58,110.3,108.54,110.25,21353092,0.0,1.0
108.39,110.05,107.93,110.05,24938858,108.39,110.05,107.93,110.05,24938858,0.0,1.0
105.73,108.07,104.72,108.07,31534055,105.73,108.07,104.72,108.07,31534055,0.0,1.0
